batchnum,hitid,hittypeid,title,description,keywords,reward,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,assignmentstatus,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,approve,reject,inputid,inputname,inputuniversity,inputdomain,inputdepts,inputfield,inputdupct,inputurl,answerothertxt,answerpagefound,answersrctype,answerurl,answerdeptmatch,answerfieldmatch,UTCflag,creationtime,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,nassign,maxtotwt,maxavgwt,minhrrew,anonid
2127698,3Y3N5A7N4G3JJRRD0Q9DQCDT2EFMY9,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:55 PDT 2015,,,3AAJC4I4FHMWATTRKI36CBPXSZVZJM,Approved,,16,100% (20/20),100% (20/20),100% (20/20),,,43286,Elaine H Ecklund,State University of New York Buffalo,buffalo.edu,Sociology</li>&nbsp;<li>Criminal Justice</li>&nbsp;<li>Family Social Science</li>&nbsp;<li>Family and Consumer Sciences</li>&nbsp;<li>Family Studies</li>&nbsp;<li>Human Ecology</li>&nbsp;<li>Gerontology</li>&nbsp;<li>Sociology and Anthropology</li>&nbsp;<li>Demography</li>&nbsp;<li>Family and Human Development,Sociology,1,,,0,,,,,,1760785075000,18oct2015 11:05:00,18oct2015 11:05:16,1760792716000,1760785594000,,20,841,42.049999,11.985731,8
2127698,3FDWKV9VCNW22I78QPCONR7G6Q4MUB,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:50 PDT 2015,,,33ISQZVXPQGWUMCBIC2CE9BHTX0CCM,Approved,,36,100% (20/20),100% (20/20),100% (20/20),,,57932,Cynthia J Girman,University of North Carolina Chapel Hill,unc.edu,Epidemiology</li>&nbsp;<li>Public Health</li>&nbsp;<li>Environmental Health Science</li>&nbsp;<li>Health Sciences</li>&nbsp;<li>Maternal and Child Health</li>&nbsp;<li>Environmental Health</li>&nbsp;<li>Health Behavior and Health Education</li>&nbsp;<li>Epidemiology and Biostatistics</li>&nbsp;<li>Biological Sciences in Public Health</li>&nbsp;<li>Health Behavior and Education</li>&nbsp;<li>International Health</li>&nbsp;<li>Public and Community Health</li>&nbsp;<li>Health Informatics</li>&nbsp;<li>Occupational and Environmental Health</li>&nbsp;<li>Population Health</li>&nbsp;<li>Public Health (Epidemiology)</li>&nbsp;<li>Public Health (Health Behavior)</li>&nbsp;<li>Clinical Investigation,Public Health,1,,,0,,,,,,1760785070000,18oct2015 11:11:44,18oct2015 11:12:20,1760793140000,1760785990000,,20,841,42.049999,11.985731,8
2127766,3EFNPKWBMSIL0ANIM0TP2LA3QAM039,3D92QE1HWKMN8Q14BXBKFG8EGWQ38K,Verify professor field,Use link to verify professor's field of study or teaching,"data collection, university, verification",.06,1,BatchId:2127766;,900,28800,Tue Oct 20 12:38:43 PDT 2015,,,3FFJ6VRIL2I3DX3VY65EUB7BXDV0IR,Approved,,37,100% (28/28),100% (28/28),100% (28/28),,,14643,Juliet Schor,Harvard University,harvard.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,https://www.radcliffe.harvard.edu/people/juliet-b-schor,,,,,,1,,1760791123000,18oct2015 12:48:37,18oct2015 12:49:14,1760820554000,1760793059000,,8,649,81.125,2.6625578,8
2127698,3V0TR1NRVAW2JJ44EGV11WEMDWRA4S,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:42 PDT 2015,,,3PJUZCGDJ7ASKLFVPGCGAXEQXLD89W,Approved,,64,100% (20/20),100% (20/20),100% (20/20),,,13452,Miles G Taylor,Florida State University,fsu.edu,Sociology</li>&nbsp;<li>Criminal Justice</li>&nbsp;<li>Family Social Science</li>&nbsp;<li>Family and Consumer Sciences</li>&nbsp;<li>Family Studies</li>&nbsp;<li>Human Ecology</li>&nbsp;<li>Gerontology</li>&nbsp;<li>Sociology and Anthropology</li>&nbsp;<li>Demography</li>&nbsp;<li>Family and Human Development,Sociology,1,,,1,1,http://coss.fsu.edu/sociology/content/miles-taylor&sa=U&ei=VWFTU9aHHcGs8AHKg4D4Dg&ved=0CFAQFjAL&usg=AFQjCNF9oFcHJlT6IybycWnnhcsNr37upw,,,,1760785062000,18oct2015 11:10:09,18oct2015 11:11:13,1760793073000,1760785931000,,20,841,42.049999,11.985731,8
2127698,391FPZIE4CGGA46XZSWBVMZKP45HUX,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:50 PDT 2015,,,3570Y55XZQDME1TLGQGK1ROFUDAGY8,Approved,,35,100% (20/20),100% (20/20),100% (20/20),,,41909,Michael Y Zhu,Purdue University,purdue.edu,"Statistics</li>&nbsp;<li>Statistical Science</li>&nbsp;<li>Measurement, Statistics and Evaluation</li>&nbsp;<li>Statistics and Applied Probability</li>&nbsp;<li>Biostatistics - Public Health</li>&nbsp;<li>Survey Methodology</li>&nbsp;<li>Mathematical Statistics</li>&nbsp;<li>Measurement and Quantitative Methods</li>&nbsp;<li>Biostatistics and Public Health</li>&nbsp;<li>Biostatistics",Statistics and Probability,1,,,1,1,http://www.stat.purdue.edu/~yuzhu/,,,,1760785070000,18oct2015 11:05:18,18oct2015 11:05:53,1760792753000,1760785749000,,20,841,42.049999,11.985731,8
2127698,39KMGHJ4RZ4PJIOL3DB60NCWNY000C,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:46 PDT 2015,,,3E47SOBEYRQN7PYBAMYYPC9C62KCIO,Approved,,25,100% (20/20),100% (20/20),100% (20/20),,,47631,Sixto Torres,University of Colorado Boulder,colorado.edu,Performance Studies</li>&nbsp;<li>Theatre</li>&nbsp;<li>Theatre Arts</li>&nbsp;<li>Theatre and Dance</li>&nbsp;<li>Culture and Performance Studies</li>&nbsp;<li>Dramatic Art</li>&nbsp;<li>Theater Studies</li>&nbsp;<li>Theatre and Drama</li>&nbsp;<li>Drama</li>&nbsp;<li>Drama and Theatre,Theatre and Performance Studies,1,,,0,,,,,,1760785066000,18oct2015 11:12:22,18oct2015 11:12:47,1760793167000,1760786212000,,20,841,42.049999,11.985731,8
2127698,33NOQL7T9OT43SZE2B1DZ1L0O3TZ8O,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:36 PDT 2015,,,37C0GNLMHGXHJX9O8HKKCF1PIB16DO,Approved,,46,100% (20/20),100% (20/20),100% (20/20),,,20983,Tim J Brennan,University of Iowa,uiowa.edu,Psychology</li>&nbsp;<li>Psychological Sciences</li>&nbsp;<li>Human Development and Family Studies</li>&nbsp;<li>Psychological and Quantitative Foundations</li>&nbsp;<li>Human Development</li>&nbsp;<li>Psychology and Neuroscience</li>&nbsp;<li>Cognitive Science</li>&nbsp;<li>Applied Psychology</li>&nbsp;<li>Counseling Psychology</li>&nbsp;<li>Clinical Psychology </li>&nbsp;<li>Child Psychology</li>&nbsp;<li>Comparative Human Development</li>&nbsp;<li>Child Development and Family Studies</li>&nbsp;<li>Psychological and Brain Sciences</li>&nbsp;<li>Family and Consumer Sciences Education and Studies</li>&nbsp;<li>Family and Child Sciences,Psychology,1,,,1,1,http://neuroscience.grad.uiowa.edu/faculty/timothy-brennan,,,,1760785056000,18oct2015 11:03:16,18oct2015 11:04:02,1760792642000,1760785572000,,20,841,42.049999,11.985731,8
2127698,3L4YG5VW9NMDHMQ9R1NWU1GYBCIDDB,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:46 PDT 2015,,,3DEL4X4EL7FX0NOB50GOPDOAX25XYE,Approved,,53,100% (20/20),100% (20/20),100% (20/20),,,1501,Tod D Swanson,Arizona State University,asu.edu,Religious Studies</li>&nbsp;<li>Religion</li>&nbsp;<li>Divinity</li>&nbsp;<li>Buddhist Studies</li>&nbsp;<li>Religion and Social Ethics,Religion,1,,,1,2,https://webapp4.asu.edu/directory/person/104139,,,,1760785066000,18oct2015 11:02:21,18oct2015 11:03:14,1760792594000,1760785574000,,20,841,42.049999,11.985731,8
2127766,36FQTHX3Z3LMKXQSKGQEM26MHEJB36,3D92QE1HWKMN8Q14BXBKFG8EGWQ38K,Verify professor field,Use link to verify professor's field of study or teaching,"data collection, university, verification",.06,1,BatchId:2127766;,900,28800,Tue Oct 20 12:38:47 PDT 2015,,,3K772S5NP9528S750VM8FO80R1OHEZ,Approved,,18,100% (28/28),100% (28/28),100% (28/28),,,61337,Frances J Richmond,University of Southern California,usc.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,http://pharmacyschool.usc.edu/profiles/frances-j-richmond-ph-d/,,,,,,1,,1760791127000,18oct2015 12:41:10,18oct2015 12:41:28,1760820088000,1760792322000,,8,649,81.125,2.6625578,8
2127698,3KLL7H3EGDVGNJVX4I6GR8133BEHVM,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:51 PDT 2015,,,3TMFV4NEP983WHS3IRM8OHM1VLWW86,Approved,,15,100% (36/36),100% (36/36),100% (36/36),,,56070,Richard Shaffer,University of California San Diego,ucsd.edu,Epidemiology</li>&nbsp;<li>Public Health</li>&nbsp;<li>Environmental Health Science</li>&nbsp;<li>Health Sciences</li>&nbsp;<li>Maternal and Child Health</li>&nbsp;<li>Environmental Health</li>&nbsp;<li>Health Behavior and Health Education</li>&nbsp;<li>Epidemiology and Biostatistics</li>&nbsp;<li>Biological Sciences in Public Health</li>&nbsp;<li>Health Behavior and Education</li>&nbsp;<li>International Health</li>&nbsp;<li>Public and Community Health</li>&nbsp;<li>Health Informatics</li>&nbsp;<li>Occupational and Environmental Health</li>&nbsp;<li>Population Health</li>&nbsp;<li>Public Health (Epidemiology)</li>&nbsp;<li>Public Health (Health Behavior)</li>&nbsp;<li>Clinical Investigation,Public Health,1,,,1,1,http://publichealth.ucsd.edu/jdp/?page_id=1287,,,,1760785071000,18oct2015 11:08:02,18oct2015 11:08:17,1760792897000,1760785815000,,36,823,22.861111,22.046173,9
2127698,3J9L0X0VDFG0N2DJWGNK0TMTR77W9K,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:37 PDT 2015,,,3ZOTGHDK5J5DASYA5313OE9G4E5OSP,Approved,,13,100% (36/36),100% (36/36),100% (36/36),,,34639,Marcia Grabowecky,Northwestern University,northwestern.edu,Psychology</li>&nbsp;<li>Psychological Sciences</li>&nbsp;<li>Human Development and Family Studies</li>&nbsp;<li>Psychological and Quantitative Foundations</li>&nbsp;<li>Human Development</li>&nbsp;<li>Psychology and Neuroscience</li>&nbsp;<li>Cognitive Science</li>&nbsp;<li>Applied Psychology</li>&nbsp;<li>Counseling Psychology</li>&nbsp;<li>Clinical Psychology </li>&nbsp;<li>Child Psychology</li>&nbsp;<li>Comparative Human Development</li>&nbsp;<li>Child Development and Family Studies</li>&nbsp;<li>Psychological and Brain Sciences</li>&nbsp;<li>Family and Consumer Sciences Education and Studies</li>&nbsp;<li>Family and Child Sciences,Psychology,1,,,1,1,http://www.psychology.northwestern.edu/people/faculty/core/profiles/marcia-grabowecky.html,,,,1760785057000,18oct2015 11:05:29,18oct2015 11:05:42,1760792742000,1760785654000,,36,823,22.861111,22.046173,9
2127763,3A9LA2FRWS88R80S4X7YFTYOJMOXH7,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:57 PDT 2015,,,31JLPPHS2VO9QBDVFO02G614CYC3OI,Approved,,50,100% (61/61),100% (61/61),100% (61/61),,,64730,Amy Thompson,Walden University,waldenu.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://www.waldenu.edu/colleges-schools/school-of-health-sciences/faculty/bios/amy-thompson,,,,,1,,,1760791017000,18oct2015 12:37:22,18oct2015 12:38:12,1760798292000,1760791531000,,25,517,20.68,10.444874,9
2127763,3BCRDCM0ODOMAJH49V15S81WEZT6KQ,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:49 PDT 2015,,,35DR22AR5EEWKKRNGFNYZJSXO2GX3G,Approved,,11,100% (61/61),100% (61/61),100% (61/61),,,9992,Susan G Meadow,University of Chicago,uchicago.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://news.uchicago.edu/profile/susan-goldin-meadow,,,,,1,,,1760791009000,18oct2015 12:42:21,18oct2015 12:42:32,1760798552000,1760791574000,,25,517,20.68,10.444874,9
2127698,3UQ1LLR26A2YHRBPK8UINDGXZINALM,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:46 PDT 2015,,,3RRCEFRB7N6APD7QBX0ZKRTBJZJ4BU,Approved,,14,100% (36/36),100% (36/36),100% (36/36),,,10979,Amy L Hall,Duke University,duke.edu,Religious Studies</li>&nbsp;<li>Religion</li>&nbsp;<li>Divinity</li>&nbsp;<li>Buddhist Studies</li>&nbsp;<li>Religion and Social Ethics,Religion,1,,,1,1,http://divinity.duke.edu/academics/faculty/amy-laura-hall?nopaging=1,,,,1760785066000,18oct2015 11:06:33,18oct2015 11:06:47,1760792807000,1760785817000,,36,823,22.861111,22.046173,9
2127698,30U1YOGZGAQJJB9RORILP02YCFRSDJ,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:50 PDT 2015,,,3EO896NRAXP0OHKSEQEOQNOG728TJX,Approved,,18,100% (36/36),100% (36/36),100% (36/36),,,52648,Robert Zeithammer,University of California Los Angeles,ucla.edu,"Statistics</li>&nbsp;<li>Statistical Science</li>&nbsp;<li>Measurement, Statistics and Evaluation</li>&nbsp;<li>Statistics and Applied Probability</li>&nbsp;<li>Biostatistics - Public Health</li>&nbsp;<li>Survey Methodology</li>&nbsp;<li>Mathematical Statistics</li>&nbsp;<li>Measurement and Quantitative Methods</li>&nbsp;<li>Biostatistics and Public Health</li>&nbsp;<li>Biostatistics",Statistics and Probability,1,,,1,1,http://www.anderson.ucla.edu/faculty/marketing/faculty/zeithammer,,,,1760785070000,18oct2015 11:05:09,18oct2015 11:05:27,1760792727000,1760785592000,,36,823,22.861111,22.046173,9
2127698,3EAWOID6MTR5CJP16AZVLG2MHUCV0Y,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:53 PDT 2015,,,35DR22AR5EEWKKRNGFNYZJSXO2B3XH,Approved,,24,100% (36/36),100% (36/36),100% (36/36),,,9170,Ioanna Marinescu,University of Chicago,uchicago.edu,"Public Policy and Administration</li>&nbsp;<li>Public Policy</li>&nbsp;<li>Health Services</li>&nbsp;<li>Public Administration</li>&nbsp;<li>Public Affairs</li>&nbsp;<li>Policy, Planning and Development</li>&nbsp;<li>Social Service Administration</li>&nbsp;<li>Public Policy Studies</li>&nbsp;<li>Education and Social Policy - Learning Sciences</li>&nbsp;<li>Health Policy And Management</li>&nbsp;<li>Social Policy to Education and Social Policy - Human Development and Social Policy</li>&nbsp;<li>Public and International Affairs</li>&nbsp;<li>Health Policy</li>&nbsp;<li>Energy and Resources</li>&nbsp;<li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,,,1,1,http://harris.uchicago.edu/directory/faculty/ioana_marinescu,,,,1760785073000,18oct2015 11:04:14,18oct2015 11:04:38,1760792678000,1760785573000,,36,823,22.861111,22.046173,9
2127763,31KSVEGZ34M6R295QXN6REMNXTGRW5,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:50 PDT 2015,,,3PPTZCWALREDWGX4F8NF9C1J6USQZ9,Approved,,12,100% (61/61),100% (61/61),100% (61/61),,,53090,Ann Taves,University of California Santa Barbara,ucsb.edu,Religious Studies</li><li>Religion</li><li>Divinity</li><li>Buddhist Studies</li><li>Religion and Social Ethics,Religion,1,http://www.religion.ucsb.edu/people/faculty/ann-taves/,,,,,1,,,1760791010000,18oct2015 12:38:32,18oct2015 12:38:44,1760798324000,1760791530000,,25,517,20.68,10.444874,9
2127763,3X55NP42EOAOORR23L8FHMBBYIXP34,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:46 PDT 2015,,,39RP059MEINQT3WWH10V6LAB5QBBM3,Approved,,26,100% (61/61),100% (61/61),100% (61/61),,,4695,Kathleen E Metz,University of California Berkeley,berkeley.edu,"Education</li><li>Teaching and Learning</li><li>Teaching and Teacher Education</li><li>Teacher Education</li><li>Work, Community and Family Education</li><li>Science Education</li><li>Science and Mathematics Education</li><li>Teaching and Learning, Policy and Leadership</li><li>Teaching, Learning, Policy and Leadership</li><li>Education Teaching and Learning",Teacher Education and Professional Development,2,http://gse.berkeley.edu/people/kathleen-e-metz,,,,,1,,,1760791006000,18oct2015 12:43:54,18oct2015 12:44:20,1760798660000,1760791937000,,25,517,20.68,10.444874,9
2127763,3FSEU3P2NRU1J6SJR3D04FE65E1RR2,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:48 PDT 2015,,,3NXNZ5RS1BROK7ACFBKAWXIVM1D97G,Approved,,24,100% (61/61),100% (61/61),100% (61/61),,,7418,Maria F Ghilardi,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.ccny.cuny.edu/profiles/mariafelice-ghilardi.cfm,,,,,1,,,1760791008000,18oct2015 12:44:29,18oct2015 12:44:53,1760798693000,1760791934000,,25,517,20.68,10.444874,9
2127763,34O39PNDK62E3ZBUV6RA4092NSYBR9,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:48 PDT 2015,,,3KOPY89HM9WVP0MYZB8X8AKID433J0,Approved,,12,100% (61/61),100% (61/61),100% (61/61),,,46193,Donald Weatherley,University of Colorado Boulder,colorado.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://psych.colorado.edu/~clinical/weatherley/,,,,,1,,,1760791008000,18oct2015 12:43:31,18oct2015 12:43:43,1760798623000,1760791571000,,25,517,20.68,10.444874,9
2127698,37SDSEDIN9W78WE6U0SL771OBOI81A,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:45 PDT 2015,,,3CN4LGXD5YI62L01LPEJS2RC481Y43,Approved,,14,100% (36/36),100% (36/36),100% (36/36),,,10606,Margaret Rossiter,Cornell University,cornell.edu,Applied Science and Technology</li>&nbsp;<li>Technology and Social Behavior</li>&nbsp;<li>Human and Social Dimensions of Science and Technology</li>&nbsp;<li>Science and Technology Studies</li>&nbsp;<li>Technology Leadership and Innovation,Science and Technology Studies,1,,,1,1,http://sts.cornell.edu/people/mwr4.cfm,,,,1760785065000,18oct2015 11:11:35,18oct2015 11:11:49,1760793109000,1760785946000,,36,823,22.861111,22.046173,9
2127698,3W31J70BASQBQ0Q5JME8E8T6AL2CKM,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:40 PDT 2015,,,37W3JXSD672IBNJLVVK2NUA3O10WYN,Approved,,13,100% (36/36),100% (36/36),100% (36/36),,,27042,Mark Lichbach,University of Maryland College Park,umd.edu,Political Science</li>&nbsp;<li>Politics</li>&nbsp;<li>Government and Politics</li>&nbsp;<li>Government</li>&nbsp;<li>International Relations</li>&nbsp;<li>Political Economy and Public Policy</li>&nbsp;<li>Political Science and International Affairs</li>&nbsp;<li>Political Economy and Government</li>&nbsp;<li>International Relations and Public Administration,Political Science,1,,,1,1,http://www.start.umd.edu/people/mark-lichbach,,,,1760785060000,18oct2015 11:04:55,18oct2015 11:05:08,1760792708000,1760785594000,,36,823,22.861111,22.046173,9
2127763,32ZCLEW0BZEZ95TR6602XTS0UFJJPA,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:51 PDT 2015,,,32ZKVD547GHP7HOMBJVGAM155ZU3BF,Approved,,19,100% (61/61),100% (61/61),100% (61/61),,,14490,Jane J Kim,Harvard University,harvard.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,http://chds.hsph.harvard.edu/People/Jane-J.-Kim,,,,,1,,,1760791011000,18oct2015 12:42:32,18oct2015 12:42:51,1760798571000,1760791570000,,25,517,20.68,10.444874,9
2127763,3SU800BH86MTNX50IIJ540RLGR3UQ8,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:51 PDT 2015,,,3PM8NZGV8ZAORLXPEQZUCRL8YUVXQK,Approved,,17,100% (61/61),100% (61/61),100% (61/61),,,14790,Mark D Jordan,Harvard University,harvard.edu,Religious Studies</li><li>Religion</li><li>Divinity</li><li>Buddhist Studies</li><li>Religion and Social Ethics,Religion,1,http://hds.harvard.edu/people/mark-d-jordan,,,,,1,,,1760791011000,18oct2015 12:42:03,18oct2015 12:42:20,1760798540000,1760791578000,,25,517,20.68,10.444874,9
2127763,335VBRURDJU662RSBGTEENFTK35E9P,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:49 PDT 2015,,,3JJVG1YBECRSLWBQP2J9PJZPJVK5B6,Approved,,10,100% (61/61),100% (61/61),100% (61/61),,,11996,Lynn S Lovin,Duke University,duke.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://fds.duke.edu/db/aas/Sociology/faculty/smithlov,,,,,1,,,1760791009000,18oct2015 12:43:20,18oct2015 12:43:30,1760798610000,1760791570000,,25,517,20.68,10.444874,9
